group1	group2	p-value	categories
severe	mild	0.384842877350717	apoptotic_CEC_mL
recovered	mild	0.0247689798023601	apoptotic_CEC_mL
control	mild	0.018640555737578	apoptotic_CEC_mL
recovered	severe	0.0302205555872815	apoptotic_CEC_mL
control	severe	0.0482657409220893	apoptotic_CEC_mL
control	recovered	0.00623328689323921	apoptotic_CEC_mL
severe	mild	0.398371609217227	apototic_CEP_mL
recovered	mild	0.172898309121219	apototic_CEP_mL
control	mild	0.00649620903336342	apototic_CEP_mL
recovered	severe	0.398371609217227	apototic_CEP_mL
control	severe	0.0102121837973896	apototic_CEP_mL
control	recovered	0.0102121837973896	apototic_CEP_mL
severe	mild	0.282651942424642	perc_CEC_Apoptosis
recovered	mild	0.162283692749124	perc_CEC_Apoptosis
control	mild	2.02830149632117e-05	perc_CEC_Apoptosis
recovered	severe	0.622040646743236	perc_CEC_Apoptosis
control	severe	0.000480299131974762	perc_CEC_Apoptosis
control	recovered	0.00227545823490286	perc_CEC_Apoptosis
severe	mild	0.716416411193906	perc_CEP_Apoptosis
recovered	mild	0.501452583815797	perc_CEP_Apoptosis
control	mild	0.268214775803045	perc_CEP_Apoptosis
recovered	severe	0.928942822947119	perc_CEP_Apoptosis
control	severe	0.268214775803045	perc_CEP_Apoptosis
control	recovered	0.268214775803045	perc_CEP_Apoptosis
severe	mild	0.771303000405168	Total_CEC_mL
recovered	mild	0.0247995554497102	Total_CEC_mL
control	mild	0.41177423195999	Total_CEC_mL
recovered	severe	0.00617030028794735	Total_CEC_mL
control	severe	0.41177423195999	Total_CEC_mL
control	recovered	0.000932400932400932	Total_CEC_mL
severe	mild	0.582414489535233	Total_CEPmL
recovered	mild	0.31243153131698	Total_CEPmL
control	mild	0.004657017799027	Total_CEPmL
recovered	severe	0.582414489535233	Total_CEPmL
control	severe	0.00857109596530007	Total_CEPmL
control	recovered	0.0105000581508405	Total_CEPmL
severe	mild	0.771303000405168	viable_CEC_Ml
recovered	mild	0.0603953322219576	viable_CEC_Ml
control	mild	0.32432483924744	viable_CEC_Ml
recovered	severe	0.0263266145619087	viable_CEC_Ml
control	severe	0.243978243978244	viable_CEC_Ml
control	recovered	0.32432483924744	viable_CEC_Ml
severe	mild	0.722342672807069	viable_CEP__mL
recovered	mild	0.514717789949988	viable_CEP__mL
control	mild	0.00638419256644095	viable_CEP__mL
recovered	severe	0.617743041272453	viable_CEP__mL
control	severe	0.00638419256644095	viable_CEP__mL
control	recovered	0.0105000581508405	viable_CEP__mL
