group1	group2	p-value	categories
severe	mild	0.384842877350717	apoptotic_CEC_mL
recovered	mild	0.0302205555872815	apoptotic_CEC_mL
recovered	severe	0.0302205555872815	apoptotic_CEC_mL
severe	mild	0.398371609217227	apototic_CEP_mL
recovered	mild	0.345796618242439	apototic_CEP_mL
recovered	severe	0.398371609217227	apototic_CEP_mL
severe	mild	0.0159343586609944	Ematocrito
recovered	mild	0.136905658875014	Ematocrito
recovered	severe	0.00150250195422439	Ematocrito
severe	mild	0.0162387980066042	emoglobina
recovered	mild	0.566814474095948	emoglobina
recovered	severe	0.0160596421270852	emoglobina
severe	mild	0.0128124189744358	eritrociti
recovered	mild	0.936173550388077	eritrociti
recovered	severe	0.0161826724878587	eritrociti
severe	mild	0.183443803500751	Leucociti
recovered	mild	0.183443803500751	Leucociti
recovered	severe	0.198813548550998	Leucociti
severe	mild	1	MCH
recovered	mild	1	MCH
recovered	severe	1	MCH
severe	mild	0.129552646124378	MCV
recovered	mild	0.129552646124378	MCV
recovered	severe	0.761826408885232	MCV
severe	mild	0.421027107509072	perc_CEC_Apoptosis
recovered	mild	0.421027107509072	perc_CEC_Apoptosis
recovered	severe	0.653796331154624	perc_CEC_Apoptosis
severe	mild	0.689471569310071	perc_CEP_Apoptosis
recovered	mild	0.689471569310071	perc_CEP_Apoptosis
recovered	severe	0.757621554921758	perc_CEP_Apoptosis
severe	mild	0.238990112055128	Piastrine
recovered	mild	0.67843137254902	Piastrine
recovered	severe	0.0879655612120602	Piastrine
severe	mild	0.771303000405168	Total_CEC_mL
recovered	mild	0.0185996665872827	Total_CEC_mL
recovered	severe	0.00617030028794735	Total_CEC_mL
severe	mild	0.582414489535233	Total_CEPmL
recovered	mild	0.582414489535233	Total_CEPmL
recovered	severe	0.582414489535233	Total_CEPmL
severe	mild	0.771303000405168	viable_CEC_Ml
recovered	mild	0.0301976661109788	viable_CEC_Ml
recovered	severe	0.0131633072809543	viable_CEC_Ml
severe	mild	0.722342672807069	viable_CEP__mL
recovered	mild	0.722342672807069	viable_CEP__mL
recovered	severe	0.722342672807069	viable_CEP__mL
