group1	group2	p-value	categories
severe	mild	0.650035546382296	apoptotic_CEC_mL
recovered	mild	0.0413037359732743	apoptotic_CEC_mL
recovered	severe	0.0413037359732743	apoptotic_CEC_mL
severe	mild	0.481395870013447	apototic_CEP_mL
recovered	mild	0.131303122179766	apototic_CEP_mL
recovered	severe	0.186207658520469	apototic_CEP_mL
severe	mild	0.00133131616580935	Ematocrito
recovered	mild	0.0636270130345165	Ematocrito
recovered	severe	3.69760417502952e-05	Ematocrito
severe	mild	0.00164280147138135	emoglobina
recovered	mild	0.366746322634855	emoglobina
recovered	severe	0.000804595104508026	emoglobina
severe	mild	0.00193152953181469	eritrociti
recovered	mild	0.941462894556797	eritrociti
recovered	severe	0.0025187072228003	eritrociti
severe	mild	0.0742396351450429	Leucociti
recovered	mild	0.267975401052625	Leucociti
recovered	severe	0.0969804102889701	Leucociti
severe	mild	0.688414140129089	MCH
recovered	mild	0.688414140129089	MCH
recovered	severe	0.688414140129089	MCH
severe	mild	0.189381491800793	MCV
recovered	mild	0.10422799259666	MCV
recovered	severe	0.694769008081702	MCV
severe	mild	0.684397058377644	perc_CEC_Apoptosis
recovered	mild	0.619207989641424	perc_CEC_Apoptosis
recovered	severe	0.619207989641424	perc_CEC_Apoptosis
severe	mild	0.666902803858237	perc_CEP_Apoptosis
recovered	mild	0.541305966635184	perc_CEP_Apoptosis
recovered	severe	0.541305966635184	perc_CEP_Apoptosis
severe	mild	0.0659917808202348	Piastrine
recovered	mild	1	Piastrine
recovered	severe	0.03335092801511	Piastrine
severe	mild	0.905062742106759	Total_CEC_mL
recovered	mild	0.00398316181059484	Total_CEC_mL
recovered	severe	0.00319649390856821	Total_CEC_mL
severe	mild	0.829983797231071	Total_CEPmL
recovered	mild	0.165270797314141	Total_CEPmL
recovered	severe	0.165270797314141	Total_CEPmL
severe	mild	0.829983797231071	viable_CEC_Ml
recovered	mild	0.00824532850377513	viable_CEC_Ml
recovered	severe	0.0023159503035664	viable_CEC_Ml
severe	mild	0.867376497509759	viable_CEP__mL
recovered	mild	0.21657150898637	viable_CEP__mL
recovered	severe	0.21657150898637	viable_CEP__mL
