gruppo	count	mean	sd	categories
mild	14	11.8642857142857	10.0631549681046	PCR_arruolamento
severe	13	136.046153846154	65.6999951215703	PCR_arruolamento
mild	14	18.9421428571429	27.8962986733066	PCR_giorno_esame
severe	13	98.1230769230769	61.888315454079	PCR_giorno_esame
mild	14	39.5	3.15619049829671	Ematocrito
recovered	9	42.1666666666667	2.9698484809835	Ematocrito
severe	13	34.9230769230769	3.52281938371192	Ematocrito
mild	14	4679.28571428571	1170.01291436472	Leucociti
recovered	9	5112.22222222222	649.457038182238	Leucociti
severe	13	6617.69230769231	2593.47949624359	Leucociti
mild	14	2425.71428571429	1113.52326690288	neutrofili
severe	13	4775.38461538462	2218.32750581985	neutrofili
mild	14	1696.42857142857	354.869578271254	linfociti
severe	13	1233.84615384615	677.883206035996	linfociti
mild	14	434.285714285714	148.04959074135	monociti
severe	13	503.076923076923	213.43947679942	monociti
mild	14	102.142857142857	172.72381562343	eosinofili
severe	13	81.5384615384615	101.558370231619	eosinofili
mild	14	19.2857142857143	16.391501416323	basofili
severe	13	23.8461538461538	18.0455264717055	basofili
mild	14	4764285.71428571	595001.154306757	eritrociti
recovered	9	4781111.11111111	500910.282496887	eritrociti
severe	13	3991538.46153846	477682.70769494	eritrociti
mild	14	13.4	1.18321595661992	emoglobina
recovered	9	13.8888888888889	1.2363701351582	emoglobina
severe	13	11.6769230769231	1.32800216249438	emoglobina
mild	14	83.4857142857143	8.08311222838724	MCV
recovered	9	87.9555555555555	3.36827519329668	MCV
severe	13	87.6923076923077	5.32610888899541	MCV
mild	14	28.35	3.16075696873148	MCH
recovered	9	29.1333333333333	2.02113829314077	MCH
severe	13	29.2230769230769	2.15489901006747	MCH
mild	14	230285.714285714	113949.670787271	Piastrine
recovered	9	200222.222222222	51351.1873713203	Piastrine
severe	13	302461.538461538	88512.3488414803	Piastrine
mild	14	404.071428571429	317.289594555489	D_Dimero
severe	13	1512	1839.39084119354	D_Dimero
mild	14	0.794285714285714	0.180457294573634	creatinina
severe	13	0.902307692307692	0.542450517653513	creatinina
mild	9	14.7777777777778	12.7943129727408	IL6
severe	10	50.9	21.2417304170614	IL6
mild	12	488.916666666667	585.621885199181	ferritina
severe	9	1732	1409.32971656742	ferritina
control	8	5.29533478480904	8.92689137251445	Total_CEPmL
mild	14	61.0419661632545	46.6563133977835	Total_CEPmL
recovered	9	27.4932268562038	23.5337873022938	Total_CEPmL
severe	13	66.991047124992	71.5240889840452	Total_CEPmL
control	8	58.5831115358923	32.1885728243918	Total_CEC_mL
mild	14	45.2728976062883	31.5130843307108	Total_CEC_mL
recovered	9	9.98637385625728	7.2746559828923	Total_CEC_mL
severe	13	56.5138453598865	52.1465146260254	Total_CEC_mL
control	8	12.5	10.3509833901353	perc_CEP_Apoptosis
mild	14	27.2142857142857	16.9305303266867	perc_CEP_Apoptosis
recovered	9	18.1111111111111	12.6337291054982	perc_CEP_Apoptosis
severe	13	24.5384615384615	16.9342620379286	perc_CEP_Apoptosis
control	8	79.375	8.07000619578449	perc_CEC_Apoptosis
mild	14	31.5	20.5604175354191	perc_CEC_Apoptosis
recovered	9	43.2222222222222	25.0488411796723	perc_CEC_Apoptosis
severe	13	35.0769230769231	23.1101043501955	perc_CEC_Apoptosis
control	8	0.489672656285825	1.38500342328535	apototic_CEP_mL
mild	14	17.2514826441522	14.7138062923179	apototic_CEP_mL
recovered	9	5.85180956751997	6.82509473616376	apototic_CEP_mL
severe	13	20.1208204078762	32.2523948876003	apototic_CEP_mL
control	8	4.80566212852321	9.01503267733576	viable_CEP__mL
mild	14	43.7904835191023	34.2280204291669	viable_CEP__mL
recovered	9	21.6414172886838	17.5473880874525	viable_CEP__mL
severe	13	46.8702267171158	43.2103746654472	viable_CEP__mL
control	8	45.8148199222621	22.1211517939264	apoptotic_CEC_mL
mild	14	14.3611719785352	13.0401671603367	apoptotic_CEC_mL
recovered	9	3.83434552359499	3.29894517509077	apoptotic_CEC_mL
severe	13	18.5263922217682	19.9383855577379	apoptotic_CEC_mL
control	8	12.7682916136301	11.4891529851003	viable_CEC_Ml
mild	14	30.911725627753	23.0074587297947	viable_CEC_Ml
recovered	9	6.15202833266228	5.05946188311937	viable_CEC_Ml
severe	13	37.9874531381184	36.8653822282317	viable_CEC_Ml
